"vote","team"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
"Mitt Romney","Other / no favourite"
